Name,Geo Place Name,Start_Date,Data Value
Annual vehicle miles traveled,Bay Ridge and Dyker Heights (CD10),2005,58.4
Annual vehicle miles traveled,Bay Ridge and Dyker Heights (CD10),2010,70.2
Annual vehicle miles traveled,Bay Ridge and Dyker Heights (CD10),2019,84.0
Annual vehicle miles traveled,Bayside - Little Neck,2005,60.5
Annual vehicle miles traveled,Bayside - Little Neck,2010,85.9
Annual vehicle miles traveled,Bayside - Little Neck,2019,80.0
Annual vehicle miles traveled,Bayside and Little Neck (CD11),2005,58.7
Annual vehicle miles traveled,Bayside and Little Neck (CD11),2010,81.2
Annual vehicle miles traveled,Bayside and Little Neck (CD11),2019,73.6
Annual vehicle miles traveled,Bedford Stuyvesant (CD3),2005,69.4
Annual vehicle miles traveled,Bedford Stuyvesant (CD3),2010,55.9
Annual vehicle miles traveled,Bedford Stuyvesant (CD3),2019,69.0
Annual vehicle miles traveled,Bedford Stuyvesant - Crown Heights,2005,95.0
Annual vehicle miles traveled,Bedford Stuyvesant - Crown Heights,2010,64.4
Annual vehicle miles traveled,Bedford Stuyvesant - Crown Heights,2019,82.6
Annual vehicle miles traveled,Belmont and East Tremont (CD6),2005,70.2
Annual vehicle miles traveled,Belmont and East Tremont (CD6),2010,98.1
Annual vehicle miles traveled,Belmont and East Tremont (CD6),2019,104.9
Annual vehicle miles traveled,Bensonhurst (CD11),2005,40.7
Annual vehicle miles traveled,Bensonhurst (CD11),2010,44.1
Annual vehicle miles traveled,Bensonhurst (CD11),2019,48.6
Annual vehicle miles traveled,Bensonhurst - Bay Ridge,2005,47.4
Annual vehicle miles traveled,Bensonhurst - Bay Ridge,2010,59.7
Annual vehicle miles traveled,Bensonhurst - Bay Ridge,2019,67.8
Annual vehicle miles traveled,Borough Park,2005,57.8
Annual vehicle miles traveled,Borough Park,2010,61.2
Annual vehicle miles traveled,Borough Park,2019,69.7
Annual vehicle miles traveled,Borough Park (CD12),2005,57.4
Annual vehicle miles traveled,Borough Park (CD12),2010,61.5
Annual vehicle miles traveled,Borough Park (CD12),2019,70.7
Annual vehicle miles traveled,Bronx,2005,48.9
Annual vehicle miles traveled,Bronx,2010,59.8
Annual vehicle miles traveled,Bronx,2019,66.0
Annual vehicle miles traveled,Brooklyn,2005,55.9
Annual vehicle miles traveled,Brooklyn,2010,55.8
Annual vehicle miles traveled,Brooklyn,2019,66.5
Annual vehicle miles traveled,Brownsville (CD16),2005,87.4
Annual vehicle miles traveled,Brownsville (CD16),2010,61.4
Annual vehicle miles traveled,Brownsville (CD16),2019,76.2
Annual vehicle miles traveled,Bushwick (CD4),2005,36.7
Annual vehicle miles traveled,Bushwick (CD4),2010,40.6
Annual vehicle miles traveled,Bushwick (CD4),2019,51.3
Annual vehicle miles traveled,Canarsie - Flatlands,2005,35.7
Annual vehicle miles traveled,Canarsie - Flatlands,2010,43.4
Annual vehicle miles traveled,Canarsie - Flatlands,2019,47.0
Annual vehicle miles traveled,Central Harlem (CD10),2005,64.5
Annual vehicle miles traveled,Central Harlem (CD10),2010,71.1
Annual vehicle miles traveled,Central Harlem (CD10),2019,84.5
Annual vehicle miles traveled,Central Harlem - Morningside Heights,2005,77.2
Annual vehicle miles traveled,Central Harlem - Morningside Heights,2010,95.5
Annual vehicle miles traveled,Central Harlem - Morningside Heights,2019,108.3
Annual vehicle miles traveled,Chelsea - Clinton,2005,126.0
Annual vehicle miles traveled,Chelsea - Clinton,2010,107.2
